Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London ,Date,Link,Identification- DOI/URL/ISBN/Reference no.,  Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Policy Sources////Citations ( from Overton) ,Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes) ,Funder 1,Funder 2,Funder 3,Source,Output type
Rethinking London's economy and economic future,Rethinking London's economy and economic future,London,2013,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.ubiquitypress.com/site/chapters/10.5334/bag.s/download/90/&ved=2ahUKEwiw2IHdmsyHAxX3WEEAHczoAi4QFnoECB4QAQ&usg=AOvVaw2UVJctMfNWlZDsFWMIRmre,10.5334/bag.s,Taylor M,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","If thinking about what London’s economy might be like in 2062 seems fanciful, what about 2031?
For this is the timeframe over which the present Mayor of London’s Spatial Development Strategy
(the ‘London Plan’) seeks to influence the city’s development. Ideas about what will happen to
London’s economy in the future are thus already shaping Mayoral policies and priorities.",,,,,,,,,,,,,RPS,Chapter
Trends and Issues in the (unaffordable) London housing market,Trends and Issues in the housing market,London,2020,https://www.jstor.org/stable/j.ctv13xps83.18,10.14324/111.9781787356795,Gabrieli T,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This chapter aims to describe and analyze some of the fundamental trends and policy issues in the London housing market. Focusing on the unaffordability problem for first-time buyers, the chapter will show how this emerges as a market outcome where price dynamics, foreign investments, speed and type of development activity interrelate and play a major role. The chapter employs a descriptive economic analysis to explain detailed empirical evidence on demand, supply, and prices across the London housing system; the economic analysis will describe the institutional and market links between planning, development, and housing demand and will exemplify how those links impact market prices and affordability. Under an institutional economic approach, I will describe how the fundamental activities/functions of development, investing, and planning are linked by prices and financial variables, and how those activities shape market outcomes, henceforth describing and making sense of recent market trends. In view of this institutional analysis, I will then critically present the most recent policy proposals and discussions.",,,,,,,,,,,,,RPS,Chapter
Royal London Hospital: Ancillary Buildings,Royal London Hospital: Ancillary Buildings,"Royal London Hospital (51.518, -0.0588)",2022,https://www.paul-mellon-centre.ac.uk/publications/browse/9781913107253,https://www.paul-mellon-centre.ac.uk/publications/browse/9781913107253,Spencer A,,,"Bartlett School of Architecture (51.525972,-0.132386)",,,,,,,,,,,,,,RPS,Chapter
"Semantic Analysis of Public Spaces in Brussels, London and Turin living labs: A Taxonomy of Interventions","Semantic Analysis of Public Spaces in Brussels, London and Turin living labs",London,2017,https://iris.polito.it/retrieve/e384c430-f30b-d4b2-e053-9f05fe0a1d67/Semantic%20Analysis%20of%20Public%20Spaces%20in%20Brussels%2C%20London%20and%20Turin%20living%20labs-A%20Taxonomy%20of%20the%20Interventions.pdf,https://iris.polito.it/retrieve/e384c430-f30b-d4b2-e053-9f05fe0a1d67/Semantic%20Analysis%20of%20Public%20Spaces%20in%20Brussels%2C%20London%20and%20Turin%20living%20labs-A%20Taxonomy%20of%20the%20Interventions.pdf,"Caneparo L, Rolfo D, Bonavero F, van Reusel H, Verbeke J, Hudson-Smith A, Karadimitriou N",,"Luca Caneparo, Davide Rolfo, Federica Bonavero, Polytechnic University of Turin, 45.063094, 7.661075","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","The aim of this paper is to conceptually transfer the knowledge about the domain of urban public spaces in three case-projects, into a hierarchical and interrelated semantic structure of micro-design interventions and their mutual relationships, providing definitions of the interventions themselves. Drawing on the Incubators of Public Spaces JPI Urban Europe research project, the paper sets the ground for a digital design tool, to support co-creative urban design processes. The conceptual and operational instrument adopted for this purpose is the ontology, a method of knowledge representation and management coming from Artificial Intelligence. Ontologies, as branch of AI, are helpful to set the domain for a clear, simple and user-friendly representation of concepts and their relationships. Incubators has developed the Taxonomy of Interventions based on the experience in three ‘living labs’ in Brussels, London and Turin. Each living lab had the opportunity to unfold its own particular and context-based configuration that can best support the local self-organisation of places.",,,,,,,,,,,,,RPS,Chapter
Heat-Related Mortality in London,Heat-Related Mortality in London,London,2022,https://www.researchgate.net/publication/364191919_Heat-Related_Mortality_in_London,10.1007/978-981-19-4707-0_8,"Mavrogianni A, Taylor J, Milojevic A, Oikonomou E, Heaviside C, Tsoulou I, Petrou G, Symonds P, Davies M, Wilkinson P","Ai Milojevic, London School of Hygiene and Tropical Medicine, 51.5209, -0.1307",,UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR),"This chapter provides an overview of factors affecting heat-related morbidity and mortality in the Greater London Area. Evidence from past heatwave periods indicates that London’s Urban Heat Island effect contributes substantially to heat-related mortality rates. During a warm period in 2006, the proportion of heat deaths attributable to this effect was estimated to be 37.7% in outer London, 46.6% in inner London and 47.2% in central London, compared to a reference rural location. The relative effect of the heat island needs to be also examined in conjunction with the influence of individual building geometry, fabric and system characteristics. Epidemiological analyses of London mortality records have demonstrated that the spatial variation of heat-related mortality in London reflects background mortality rates related to population age. As such, higher levels of excess heat-related mortality occur in areas towards the outskirts of London with larger proportions of older residents. Housing features, however, cause a larger variation in temperature exposure and associated risks than the heat island intensity alone. This chapter briefly discusses a series of London urban heat health assessment methods and decision-making support tools.KeywordsLondonUrban environmentCitiesHeatOverheatingUrban temperatureUrban warmingUrban climateUrban heat islandClimate changeThermal comfortHealthWellbeingHeat-related mortality",,,,,,,,,,,,,RPS,Chapter
Transport CO2 mitigation and the production of low traffic neighbourhoods: Lessons from London,Transport CO2 mitigation and the production of low traffic neighbourhoods,London,2022,https://discovery.ucl.ac.uk/id/eprint/10159938/,https://discovery.ucl.ac.uk/id/eprint/10159938/,"Hickman R, Afonin A",,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","“Transport CO2 Mitigation and the Production of Low Traffic Neighborhoods: Lessons from London,” assesses the Low Traffic Neighborhood 21 (LTN21) in suburban West London and draws implications for wider contexts, such as in Asian cities, including that wide-ranging sustainable mobility strategies need to consider carbon dioxide and social equity impacts. Further, it recommends a strengthened participatory and deliberative transport planning process to improve the process of project delivery.",,,,,,,,,,,,,RPS,Chapter
"‘Accounting for the hostel for 'coloured colonial seamen' in London’s East End, 1942–1949'",‘Accounting for the hostel for 'coloured colonial seamen' ,"Whitechapel (51.516389, -0.069167)",2020,https://discovery.ucl.ac.uk/id/eprint/10062039/,10.4324/9781003317296,Milne SA,,,"Bartlett School of Architecture (51.525972,-0.132386)","In 1942, 17 Leman Street, Whitechapel, was acquired by the Colonial Office and converted into the only seamen's hostel for black men in London. For seven years, this small government-sponsored hostel provided thirteen beds for seamen from British colonies in the Caribbean and West Africa. Considering the hostel amid wider contestations of nationhood in London’s built environment, this paper argues that the experience of ‘colonial’ seamen and stowaways in the capital was characterised by spatial precariousness, a condition accentuated by the unwillingness of authorities to respond to the difficult realities of the colour bar and citizenship in post-war urban space.",,,,,,,,,,,,,RPS,Chapter
Local meanings and ‘sticky’ measures of the good life: redefining prosperity with and for communities in east London,Local meanings and ‘sticky’ measures of the good life,"East London (51.55, 0.1)",2023,https://www.uclpress.co.uk/products/211175,https://www.uclpress.co.uk/products/211175,"Moore HL, Woodcraft S",,,"UCL Institute for Global Prosperity (51.523897,-0.137055)",,,,,,,,,,,,,,RPS,Chapter
The ‘New London Vernacular’: Architecture and the politics of community-building in London’s Olympic Park,The ‘New London Vernacular’,"Queen Elizabeth Olympic Park (51.54615, -0.01269)",2024,https://www.jstor.org/stable/jj.9891566?turn_away=true,https://www.jstor.org/stable/jj.9891566?turn_away=true,Woodcraft S,,,"UCL Institute for Global Prosperity (51.523897,-0.137055)",,,,,,,,,,,,,,RPS,Chapter
"Formative developmental evaluation: A transdisciplinary urban regeneration project in London, UK",A transdisciplinary urban regeneration project in London,"Thamesmead (51.504, 0.1261)",2023,https://www.elgaronline.com/edcollchap/book/9781802207835/book-part-9781802207835-24.xml,https://www.elgaronline.com/edcollchap/book/9781802207835/book-part-9781802207835-24.xml,"Moore G, Pluchinotta I, Pineo H, Osrin D, Zimmermann N, Salvia G, Davies M",,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","In the field of urban health and sustainability, transdisciplinary approaches are increasingly being applied to bring together and integrate cross-disciplinary, cross-sectoral knowledge to generate effective solutions. This chapter describes the processes and outcomes of a transdisciplinary approach. We focus on a policy-relevant international research programme, Complex Urban Systems for Sustainability and Health (CUSSH). We describe a model for transdisciplinary health research developed by Pineo et al. (2021), applied to evaluate and reflect on how transdisciplinary has unfolded in practice in a case study in Thamesmead, London. The chapter responds to calls for more evaluation and reflections on transdisciplinary research projects. We present a formative, developmental evaluation approach. Developmental evaluation is an iterative process supporting programme innovation, adaptation in changing and complex contexts. As an evaluation approach, it provides methodological flexibility to support adaptation - with a focus on nurturing learning as a core goal. In the case study of Thamesmead, a developmental evaluation approach was used to help frame concepts, track developments and share reflections. The chapter presents our collective reflections on the processes and outcomes of transdisciplinary research, examining if (and how) our efforts have led to the integration of diverse knowledge types and co-creation of knowledge",,,,,,,,,,,,,RPS,Chapter
"From the Beer Orders to Last Orders - Legislation, Taxation and the Modern Beer Landscape of London","Legislation, Taxation and the Modern Beer Landscape",London,2023,https://link.springer.com/chapter/10.1007/978-3-031-39008-1_3,https://link.springer.com/chapter/10.1007/978-3-031-39008-1_3,"Dennett A, Gray S, Wyszomierski J",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","London has one of the longest and most well-established brewing histories of any city in the world but by the Millennium the industry in the city had dwindled to just a handful of breweries brewing a limited range of established beers. Then, in 2002, the UK government introduced a new progressive beer duty tax which enabled small-scale brewers to brew beer while paying less tax than their larger competitors, thus levelling the uneven financial playing field that economies of scale had created. This chapter charts the impact of this transformative policy through the beer itself analysing data on over 9000 different beers brewed in the city by almost 300 different brewers. Through a detailed quantitative analysis of beers, their characteristics and their brewers, we document the evolving new beer scene unleashed by this small stroke of fiscal creativity. We find that once the small breweries were able to compete financially with the large breweries and a new cohort of passionate brewers had learned the necessary skills, a dynamic new beer landscape eventually emerged a decade or so after the fiscal change was made. This new scene reflects London’s global status, showcasing the planetary influences shaping one of the most exciting contemporary beer landscapes in the world.",,,,,,,,,,,,,RPS,Chapter
Pragmatic fix or a farewell to welfare? making sense of and contesting the financialisation of public land and council housing in London,Making sense of and contesting the financialisation of public land and council housing,London,2020,https://muse.jhu.edu/pub/354/oa_edited_volume/chapter/2777480/pdf,10.14324/111.9781787356795,Penny J,,,"UCL Urban Laboratory (51.52537536621094,-0.13254199922084808)",,,,,,,,,,,,,,RPS,Chapter
"Introduction: Critical dialogues of urban governance, development and activism in London and Toronto","Introduction: Critical dialogues of urban governance, development and activism",London,2020,https://www.uclpress.co.uk/products/126992,https://www.uclpress.co.uk/products/126992,"Moore S, Bunce S, Livingstone N, March L, Walks A",,"Susannah Bunce, Loren March and Alan Walks, University of Toronto, 43.661667, -79.395","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)",,,,,,,,,,,,,,RPS,Chapter
"Conclusion: Critical dialogues on urban govenrmance, development and activism in London and Toronto","Conclusion: Critical dialogues on urban govenrmance, development and activism",London,2020,https://www.uclpress.co.uk/products/126992,https://www.uclpress.co.uk/products/126992,"Walks A, Bunce S, Livingstone N, March L, Moore S",,"Alan Walks, Susannah Bunce, Loren March, University of Toronto, 43.661667, -79.395","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)",,,,,,,,,,,,,,RPS,Chapter
"The Pursuit of Pleasure: Gender, Space and Architecture in Regency London","Gender, Space and Architecture in Regency London",London,2001,https://www.bloomsbury.com/uk/pursuit-of-pleasure-9780485006384/,https://www.bloomsbury.com/uk/pursuit-of-pleasure-9780485006384/,Rendell J,,,"Bartlett School of Architecture (51.525972,-0.132386)","The Pursuit of Pleasure presents the figures of the rambler and the cyprian, the Eighteenth Century precursors to the Parisian flGneur and prostitute. The urban spaces traced by these figures were the clubs, sporting venues, operas, assembly rooms, streets and arcades of central London.Drawing on critical theory, geography and philosophy, The Pursuit of Pleasure extends and critiques the discipline of architectural history from a feminist perspective. The gendering of public space is considered to be a complex and shifting series of moves and looks between men and women, constructed and represented through spatial and social relations of consumption, display and exchange.Illustrated with contemporary prints and drawings, The Pursuit of Pleasure is an extraordinarily rich analysis of the gendered issues of public space at the birth of the modern metropolis.",,,,,,,,,,,,,RPS,Book
Short Stories: London in two-and-a-half dimensions,Short Stories: London in two-and-a-half dimensions,London,2011,https://www.ucl.ac.uk/news/2011/may/london-two-and-half-dimensions,https://www.ucl.ac.uk/news/2011/may/london-two-and-half-dimensions,"Lim CJ, Liu E",,,"Bartlett School of Architecture (51.525972,-0.132386)","Combining place and fiction in an imaginative interpretation of ten sites in the city of London, CJ Lim and Ed Liu take well-known institutions, epochs and lifestyles in the British capital and renders them fantastic in a string of architectural short stories.

The medium is an intersection of paper assemblages with short stories. The stories have been exhibited at the Royal Academy of Arts and the Victoria and Albert Museum but are collected for the first time in a single volume, laid out as they were designed to be seen as one phantasmogoric city vision.

Painstakingly constructed, the stories assemble a sequence of improbable marriages between architecture and story, encompassing a retelling of the Three Little Pigs at Smithfield, a dating agency at Battersea, and a ringed transport system manifesting as a celestial river over the great metropolis. Drawing on a wealth of literary symbolism from Carroll's Alice in Wonderland to Dickens's A Tale of Two Cities and imbued with humour and irony, the book builds on London's rich mix of extravagance and fictive tradition.

Enthralling, inspirational and entertaining, this cabinet of curiosity and wonder depicts a vision of the city that is immoral, anarchic, and unscientific, and at the same time, glorious, ravishing and a pleasure to behold.",,,,,,,,,,,,,RPS,Book
"Bottom-up Environmental Justice in the UK: a fairer, greener London",Bottom-up Environmental Justice in the UK,London,2007,https://discovery.ucl.ac.uk/id/eprint/16246/,https://discovery.ucl.ac.uk/id/eprint/16246/,"Haklay M, Kimmel-Guy A, Theakston S, Moore G",,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)",,,,,,,,,,,,,,RPS,Conference paper (text)
GIS and Cyberspace: Virtual London and the E-Society. Envisioning Cyber-Geospace and Spatially Enabled E-Government,GIS and Cyberspace,London,2003,https://www.researchgate.net/publication/267636927_GIS_and_Cyberspace_Virtual_London_and_the_E-Society_Envisioning_Cyber-Geospace_and_Spatially_Enabled_E-Government,https://www.researchgate.net/publication/267636927_GIS_and_Cyberspace_Virtual_London_and_the_E-Society_Envisioning_Cyber-Geospace_and_Spatially_Enabled_E-Government,"Longley PA, Batty M, de Smith M, Evans S, Farr M, Hudson-Smith A, Li C, Slingsby A, Webber R",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)",,,,,,,,,,,,,,RPS,Conference paper (text)
3D GIS - 3D London - Virtual London,3D GIS - 3D London - Virtual London,London,2000,https://www.researchgate.net/publication/267636856_3D_GIS-3D_London-Virtual_London,https://www.researchgate.net/publication/267636856_3D_GIS-3D_London-Virtual_London,"Batty M, Chapman D, Evans S, Haklay M, Kueppers S, Shiode N, Hudson-Smith A, Torrens PM",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)",,,,,,,,,,,,,,RPS,Conference paper (text)
Is urban diversity synonymous with urban sustainability? What do people “suggest” for Clerkenwell in London,Is urban diversity synonymous with urban sustainability?,"Clerkenwell (51.52604, -0.103475)",2006,https://discovery.ucl.ac.uk/id/eprint/87834/1/Perdikogianni&Penn.pdf,https://discovery.ucl.ac.uk/id/eprint/87834/1/Perdikogianni&Penn.pdf,"Perdikogianni I, Penn A",,,"Bartlett School of Architecture (51.525972,-0.132386)","This paper draws on current research being undertaken under the VivaCity 2020 Consortium (EPSRC Sustainable Urban Environment (SUE) programme) and describes a “well-working” diverse area in London; Clerkenwell. It further builds up empirical evidence of the relationship between land use diversity and urban sustainability. It is often argued that a diverse urban environment can be seen as a positive component for sustainable urban communities. However, it is possible to find diverse areas, which fail to “work”. By identifying the absence of a robust definition of diversity, the paper describes Clerkenwell’s large-scale spatial and functional patterning in detail and identifies that it comprises a system of different centres of activity developed around locally strategic streets. Its occupational patterns emerged by observation-based land use, pedestrian and traffic flow surveys correlated with configurational measures that describe its structure. This paper suggests that cities should be understood as a dynamic product of a long historical process, based on the cause-effect relation between “physical city” (means) – “functional city” (ends). Then, urban sustainability although it refers to the ends, is always bound to means-ends binary relation",,,,,,,,,,,,,RPS,Conference paper (text)
Learning from London. Clerkenwell: a diverse city central neighbourhood in a vibrant city,Clerkenwell: a diverse city central neighbourhood in a vibrant city,"Clerkenwell (51.52604, -0.103475)",2006,https://www.academia.edu/46860127/Learning_from_London_Clerkenwelll_a_diverse_city_central_neighbourhood_in_a_vibrant_city,https://www.academia.edu/46860127/Learning_from_London_Clerkenwelll_a_diverse_city_central_neighbourhood_in_a_vibrant_city,"Perdikogianni I, Penn A",,,"Bartlett School of Architecture (51.525972,-0.132386)","This paper investigates the mechanisms that contribute to the heterogeneous nature of Clerkenwell in the north fringe of central London and lead to it being a “well-working” diverse area. It is based on findings of research being undertaken by the research project VivaCity 2020, funded by EPSRC (Sustainable Urban Environment Programme). In literature, diversity especially land use diversity has a positive relationship with what is considered a “well-working” urban area. However lived experience suggests that there are no precise description of a “successful” urban environment but it is one of those phenomena that “you know when you see it”. The paper deals with the notion of differentiation and choice that diversity implies, and the concepts of legibility and intelligibility, introduced by Lynch and Hillier respectively, to retrieve identities and structures from the physical environment that surrounds us. Through an analysis of correlation of spatial and occupational patterns, based on space syntax methodology, Clerkenwell is found to be a fragmented but structured system of different centers of activity developed around locally strategic streets. This paper argues that one part of its success lies in exactly the maintenance of a relatively complex and difficult to understand whole composed of relatively easy to understand parts. This may account for the longevity and diversity of local economy and urban fabric. Perhaps this can become a model for urban planners and decisions makers in seeking to reproduce the vibrancy of the 19th century European city.",,,,,,,,,,,,,RPS,Conference paper (text)
Visualising London's Suburbs,Visualising London's Suburbs,London,2008,https://discovery.ucl.ac.uk/id/eprint/5184/,https://discovery.ucl.ac.uk/id/eprint/5184/,"Jones CE, Haklay M, Griffiths S, Vaughan L",,,"Bartlett School of Architecture (51.525972,-0.132386)",,,,,,,,,,,,,,RPS,Conference paper (text)
The metropolitan rhythm of  street life: a socio-spatial analysis of  synagogues and churches in nineteenth century Whitechapel,The metropolitan rhythm of  street life,"Whitechapel (51.516389, -0.069167)",2017,https://discovery.ucl.ac.uk/id/eprint/1519784/,https://discovery.ucl.ac.uk/id/eprint/1519784/,"Laura Vaughan, Kerstin Sailer",,,"Bartlett School of Architecture (51.525972,-0.132386)","The German sociologist Georg Simmel wrote in 1903 how the city functions as an alienating environment that is strikingly different from the village or the town: in the city the individual has to adjust to the “metropolitan rhythm of events.” Simmel’s proposition that the nature of the urban setting means that every street crossing creates an intensified tempo “of economic, occupational and social life” is examined here to see the way in which East London functioned – as it has done so now over several centuries – to provide a specifically urban setting for incoming religious minorities to settle and form a community. This chapter focuses on Whitechapel in the year 1899, around a decade later than Charles Booth’s first poverty survey and in the year in which the update to his great map of poverty was drawn up.",,,,,,,,,,,,,RPS,Conference paper (text)
The simulation of the post-flood drying of dwellings in London,The simulation of the post-flood drying of dwellings,Central London,2010,http://www.civil.mrt.ac.lk/web/conference/ICSBE_2010/vol_01/9.pdf,http://www.civil.mrt.ac.lk/web/conference/ICSBE_2010/vol_01/9.pdf,"Taylor J, Davies M, Lai K-M",,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","Climate projections indicate that the UK will experience more frequent extreme precipitation events and a rise in sea levels, with the greatest relative sea level rise occurring in the South-East of England. As a result, flooding is expected to occur more frequently in London. Flood simulation modelling has previously been done to predict the impact on the built environment for a variety of scenarios for London. However, such models have not taken into account the detailed hygric behaviour of the building stock under flooding and drying conditions which can vary significantly between property types, and can lead to prolonged damp and health problems. To address this problem, a building stock model of central London has been developed in a Geographic Information System (GIS), with information on the age, structure, and height of each dwelling and assumptions about built form based on historical building standards and surveys. This paper describes a novel methodology for the development of a building stock model with the necessary information to carry out hygrothermal simulations of the penetration of water into the building envelopes of flooded homes and the subsequent drying under different environmental scenarios. It discusses how the risk of damp in flooded homes can be modelled using hygrothermal methods and supplemented with mould models. By combining the multidisciplinary components of GIS, building simulation, and microbiological modelling, a holistic picture of the potential health implications of flooding at a population level across different temporal and spatial scales can be developed.",,,,,,,,,,,,,RPS,Conference paper (text)
A GIS-based bottom-up space heating demand model of the London domestic stock,A GIS-based bottom-up space heating demand model,London,2009,https://www.aivc.org/resource/gis-based-bottom-space-heating-demand-model-london-domestic-stock,https://www.aivc.org/resource/gis-based-bottom-space-heating-demand-model-london-domestic-stock,"Mavrogianni A, Davies M, Kolokotroni M, Hamilton IG",,,UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR),This paper demonstrates a systematic approach towards exploring the impact of urban built form and the heat island effect on the levels of domestic energy consumption in London. The study combines GIS databases and a modified version of the Standard Assessment Procedure (SAP) algorithm in order to estimate the space heating demand of urban domestic energy users. The output data is aggregated to the Middle Layer Super Output Area (MLSOA) level. External air temperatures in various locations across London were predicted as part of the London Site Specific Air Temperature (LSSAT) model development. This data was used as input to the energy use calculation model. Comparison of the model output for 95 case study areas with top-down energy statistics at MLSOA level demonstrated that the model ranks areas based on their domestic energy demand with relative success.,,,,,,,,,,,,,RPS,Conference paper (text)
Indoor Air Quality and Thermal Comfort Conditions in 3 Primary Victorian Schools in Central London,IAQ and Thermal Comfort Conditions in Victorian Schools,Central London,2012,https://www.researchgate.net/publication/289173414_Indoor_air_quality_and_thermal_comfort_conditions_in_3_primary_victorian_schools_in_central_london,https://www.researchgate.net/publication/289173414_Indoor_air_quality_and_thermal_comfort_conditions_in_3_primary_victorian_schools_in_central_london,"Chatzidiakou L, Mumovic D, Summerfield A",,,UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR),"Rising respiratory disease among pupils has led to an increasing interest in the indoor environment of school buildings. In total, 9 classrooms and 3 external sites were monitored in 3 Victorian schools in central London. Indoor and outdoor relative humidity, temperature, CO2, NO2, O3, and PM were monitored for a typical week during the winter season of 2011. Average concentrations of PM10 and PM2.5 and NO2 during occupied period were found to exceed the WHO, 2005 recommended guidelines. Higher I/O ratios were recorded in classrooms oriented towards the windward side of the buildings.",,,,,,,,,,,,,RPS,Conference paper (text)
Measuring the Influence of Spatial Configuration on the Housing Market in Metropolitan London,Measuring the Influence of Spatial Configuration on the Housing Market,London,2013,http://sss9sejong.or.kr/paperpdf/ussecp/SSS9_2013_REF121_P.pdf,http://sss9sejong.or.kr/paperpdf/ussecp/SSS9_2013_REF121_P.pdf,"Law S, Karimi K, Penn A, Chiaradia A",,,"Bartlett School of Architecture (51.525972,-0.132386)","In real estate economics, there is a lack of research in studying the relationship between the builtform and economic value. Partly this is stemmed from the lack of a methodology in studying builtform objectively but also in much of regional science and spatial economics discourse, a lack ofconsideration in the influence of urban morphological properties. In “pricing accessibility”, Webster(2009) argues the need to value the built form morphology. One perspective in understanding thebuilt environment morphology is through its spatial configuration. (Hillier and Hanson 1984) Heargues this understanding can potentially lead to more efficient allocation of resources. This researchthus makes use of the hedonic approach, an established methodology in environmental economics, inestimating the influence of spatial configuration on observed housing sold price. (Rosen 1974) Theresults from this study suggest that spatial configuration measure of accessibility such as spacesyntax integration and space syntax choice are significant variables influencing transaction houseprice both positively and negatively in London between 1995 - 2011. In comparison to both distanceto CBD measures and gravitational potential measures, the result also suggests space syntaxintegration is an appropriate variable in hedonic models to capture accessibility effects",,,,,,,,,,,,,RPS,Conference paper (text)
Understanding the health impact of future energy efficiency and low-emissions in London,The health impact of future energy efficiency and low-emissions,London,2014,https://researchonline.lshtm.ac.uk/id/eprint/2121342/,https://researchonline.lshtm.ac.uk/id/eprint/2121342/,"Hamilton IG, Milner J, Das P, Chalabi Z, Shrubsole C, Wilkinson P, Davies M","Milner J, London School of Hygiene and Tropical Medicine, 51.5209, -0.1307",,UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR),,,,,,,,,,,,,,RPS,Conference paper (text)
Identifying risk profiles in the London’s public transport system,Risk profiles in public transport system,London,2015,https://web.mit.edu/cron/lockers/cupum2015/proceedings/Content/analytics/288_murcio_h.pdf,https://web.mit.edu/cron/lockers/cupum2015/proceedings/Content/analytics/288_murcio_h.pdf,"Murcio R, Zhong C, Manley E",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)",Public transport networks are a key element in the survival of modern cit-,,,,,,,,,,,,,RPS,Conference paper (text)
"Mapping estimated heat-related mortality in London due to population age, urban heat island, and dwelling characteristics",Mapping estimated heat-related mortality in London,London,2015,https://ehp.niehs.nih.gov/doi/abs/10.1289/isee.2015.2015-1891,https://ehp.niehs.nih.gov/doi/abs/10.1289/isee.2015.2015-1891,"Taylor J, Wilkinson P, Davies M, Armstrong B, Chalabi Z, Mavrogianni A, Symonds P, Picetti R, Oikonomou E","Wilkinson P, Armstrong B, Picetti R, London School of Hygiene and Tropical Medicine, 51.5209, -0.1307",,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","Introduction Mortality during hot weather is predicted to become more significant in the UK due to changes in the climate. We investigated the spatial variation in heat-related mortality risks across London due to population age, urban heat island (UHI) and building characteristics. Methods Dynamic building physics models were run for 126 different age and built form variants of buildings statistically representative of the London housing stock, outputting average maximum daily internal temperatures for a hot summer period in 2006. Internal and modelled UHI temperature estimates for the same period in London were mapped to individual dwellings in Geographic Information System (GIS) software, and deviations of building-specific indoor and outdoor temperatures from the London-average were calculated and summarised at ward level. Office of National Statistics age-specific absolute mortality data and the above-calculated UHI and indoor temperature anomalies were then used to estimate spatial variation in mortality according to an age-specific relative risk function for heat in London. Results There was appreciable variation in indoor temperatures under the modelled climate, with a mean maximum range of 2.5°C. Modelled results indicate that the largest mortality risks may lie in outer London, as the elderly population is larger there than in Central London. Top-floor flats in multiple occupancy buildings and bungalows were found to be the most at-risk dwelling types. Limitations in building stock information and occupancy scenario assumptions mean that some buildings may be worse than modelled. Conclusions These results indicate that UHI and indoor temperatures may cause an appreciable spatial variation in the risks from heat-related mortality, but that the driving factor remains population age. Further work is required to explore the risks for individuals living in extreme heat-poor housing conditions or for those unable to take action to cool the indoor environment.",,,,,,,,,,,,,RPS,Conference paper (text)
Integrating a GIS Based Land-Use Transport Model and Climate Change Impact Assessment Analysis for Sustainable Urban Development of London to 2100,Sustainable Urban Development of London to 2100,London,2010,https://www.researchgate.net/publication/250928783_INTEGRATING_A_GIS_BASED_LAND-USE_TRANSPORT_MODEL_AND_CLIMATE_CHANGE_IMPACT_ASSESSMENT_ANALYSIS_FOR_SUSTAINABLE_URBAN_DEVELOPMENT_OF_LONDON_TO_2100,https://www.researchgate.net/publication/250928783_INTEGRATING_A_GIS_BASED_LAND-USE_TRANSPORT_MODEL_AND_CLIMATE_CHANGE_IMPACT_ASSESSMENT_ANALYSIS_FOR_SUSTAINABLE_URBAN_DEVELOPMENT_OF_LONDON_TO_2100,"Ford A, Barr S, Dawson R, Batty M, Hall J",,"Ford A, Barr S, Dawson R, Hall J, Newcastle University, 54.978, -1.615","Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)",,,,,,,,,,,,,,RPS,Conference paper (text)
