Theme (KEF Themes),Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London,Date,Link,Identification- DOI/URL/ISBN/Reference no.,Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Partnership,Policy Sources////Citations ( from Overton),Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes),Funder 1,Funder 2,Funder 3,Source,Type of Work (phD/masters),Column,Column2,Column3,Column4,Column5,Column6,Column7
,Identifying street-character-weighted local area using locally weighted community detection methods the case study of London and Amsterdam,Identifying street-character-weighted local area,"Hampstead Garden Suburb (51.5805081,-0.1806164)
Soho (51.5140654,-0.1350494)","Monday, 1 July 2019",https://discovery.ucl.ac.uk/id/eprint/10081813/,https://discovery.ucl.ac.uk/id/eprint/10081813/1/1562663038_Law-pont-shen-penn-karimi.pdf,Stephen Law|Meta Berghauser Pont|Yao Shen |Alan Penn |Kayvan Karimi,"Stephen Law
The Alan Turing Institute, British Library, 96 Euston Rd., London NW1 2DB (51.52942966641486, -0.1275945172096855)","Yao Shen
Department of Urban Planning, Tongji University, 1239 Siping Road, Shanghai 200092, China, (31.28534786913622, 121.50577118412855)

Meta-Berhauser-Pont
Chalmers University of Technology, Architecture and Civil Engineering, Spatial Morphology Research Group, Hörsalsvägen 7a, 412 96 Göteborg, Sweden (57.68907230293501, 11.97780684547229)","Bartlett School of Architecture (51.525972,-0.132386)","Previous research suggests that community detection methods, which defines subgraph that maximises internal ties and minimise external ties, can be applied on the street network dual graph in identifying Street-based Local Area (Law et al 2016; Law 2017). The method was successful in identifying isolated local area but were unsuccessful in identifying local area that was less driven by the grid but more from other urban factors. This research attempts to address this problem by embedding street characteristics in community detection to define Street Character Weighted Local Area (St-W-LA). The idea is that street neighbourhoods are not only defined by the topology of the street network but also by the morphology of the built form. In particular, we adopted Spacemate Building Density Metric in defining Density-based local area for Amsterdam in the Netherlands and Space Syntax angular choice metric in defining angular-choice-based (note. for simplicity reasons we term this betweeness-based) local area for London in the UK. We compared the results of the community detection with user defined local area through visual analysis. In general, we found the weighted and the unweighted street-based local areas to be similar. This suggests that neighbourhood characteristics (morphology) follow neighbourhood topology where areas that were built in similar times with similar density and building type were also better connected internally. However, we also found notable differences between the two methods where the weighted local area seems better in capturing the user defined local area in more continuous grids. Further empirical research employing mental map studies and intra-cluster analysis are needed to validate the method.",,,,,,Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Other,,,,Discovery,,,,,,,,
,An exploration of the presence and flows of visitors in the city using the social media data in London,Presence and flows of visitors using the social media data,,"Friday, 12 July 2019",https://discovery.ucl.ac.uk/id/eprint/10081815/,https://discovery.ucl.ac.uk/id/eprint/10081815/1/1562664559_Song-karimi.pdf,Yutao Song |Kavyan Karimi ,,,"Bartlett School of Architecture (51.525972,-0.132386)","Most global cities have a large volume of visitors every day. These visitors interact with locals and have noticeable impacts on the city. London is the type of city that actively attracts and interacts with tourists. Tourists are, almost by definition, a group of “spatial users” that do not live and work within the city in the long term. The way they move and navigate through the city relates to their plans and destinations, and it is not always easy to distinguish such a group from other spatial users. Therefore, it requires a special effort to study their movement patterns and to identify the relationship between the group and space. Instead of using traditional on-site observations, this research has explored a new method for collecting and converting social media platform data into movement patterns using the data from Flickr. // Comparing with traditional data-collecting methods, the proposed method can cover a wider territory (5-km radius) and period (5 years), and most importantly, it collects users’ movement data without interfering with their regular activities, which might collect more natural movement results. The essential concept of movement data conversion is to arrange the geo-tagged photos of each Flickr user per day by the time sequence during their itinerary. The sets of sorted photos will reflect the visit order each user has gone through. The geographical data of the arranged photos can be converted into the topological travel routes. Finally, the routes will be mapped onto the base map using the proposed method. The collected data from the Flickr platform provide a wide range of information from static content to movement flow. These data are crucial in studying tourist activities and their related space.",,,,,,,,,,Other,,,,Discovery,,,,,,,,
,Spatial impact of new public transport system on station neighbourhoods: The cases of Jubilee Line Extension in London,Spatial impact of new public transport system,"Bermondsey (51.49800109863281,-0.06385649740695953)
Canada Water (51.497962951660156,-0.04997190088033676)
Canning Town (51.51398849487305,0.00827999971807003)
West Ham (51.5277844,0.0047409)","Monday, 1 July 2019",https://discovery.ucl.ac.uk/id/eprint/10078893/,https://www.researchgate.net/publication/334465597_SPATIAL_IMPACT_OF_NEW_PUBLIC_TRANSPORT_SYSTEM_ON_STATION_NEIGHBOURHOODS_The_cases_of_Jubilee_Line_Extension_in_London,Po Nien Chen|Kavyan Karimi,,,"Bartlett School of Architecture (51.525972,-0.132386)","The implementation of a new public transport system is considered to have a significant impact on the flow of people and economies in cities and towns. Though, spatial configuration that could stimulate urban growth has yet to be clearly identified in transport and urban studies. The new public transport services are believed to increase transport network accessibility and facilitate daily commute. In the transport system, stations could be the “nodes” that enhance the transport integration by providing connection for flows of people and goods, as well as be the “places” where they emerge within urban fabric to support the diversity of socio-economic activities. In this regard, the objective of this study was to verify the spatial impact of new public transport systems, with particular attention paid to the neighbourhoods surrounding stations, to identify whether stations are embedded in better locations to optimise urban regeneration. // This study focused on the latest implementation of the London Underground system, the Jubilee Line Extension (JLE) which connects Central London to the East and South-east London. Four neighbourhood stations along the JLE (Bermondsey, Canada Water, Canning Town, and West Ham) have been analysed in this study. By applying space syntax theory and tools, this study accessed both qualitative and quantitative spatial analysis with demographic and land use data. The results revealed that the location of stations, in terms of the configurational urban network, would be a factor in optimising socio-economic development in the station neighbourhoods. It also suggested that space syntax could be an effective analytical methodology used to understand the relationship between transport network and urban morphology for future studies in land use and transport planning.",,,,,,,,,,Planning and Policy,,,,Discovery,,,,,,,,
,"Indoor overheating and mitigation of converted lofts in London, UK",Indoor overheating and mitigation of converted lofts,London,"Wednesday, 3 April 2019",https://discovery.ucl.ac.uk/id/eprint/10072870/1/Indoor%20overheating%20and%20mitigation%20of%20converted%20lofts%20in%20London.pdf,https://doi.org/10.1177/0143624419842044,Xiaoyi Li|Jonathon Taylor|Phil Symonds,,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","In the UK, there has been an increase in the number of loft conversions, driven by demands for increased floor areas of dwellings to accommodate more individuals or increase property values. While rooms directly underneath roofs are known to have increased overheating risks, there is little research available that quantifies this risk, and how to mitigate it cost-effectively. This paper seeks to evaluate overheating risks in loft conversions, using integrated environmental solutions virtual environment to dynamically simulate indoor temperatures in a semi-detached dwelling in London, UK, under current and future (2050s and 2080s medium and high emissions) climate scenarios. Adaptive overheating risk and energy consumption are calculated with and without passive overheating adaptations that reduce solar gains, increase ventilation, or add thermal insulation. Marginal abatement cost curves (MACC) are then used to select the most cost-effective adaptations based on installation and ongoing energy consumption costs. Results estimate 11,340–12,210 more summertime Category I overheating degree-hours for the loft than conventional bedrooms in the dwelling under the current climate; total category I loft overheating degree-hours may increase to 20,319 by 2080. While external shutters and night-purge ventilation were the most effective at reducing overheating degree-hours (96% and 89%, respectively), the most cost-effective solutions considering capital and ongoing costs are ventilation strategies, including night-time purge ventilation, advance ventilation and cross ventilation. Passive adaptations are not capable of eliminating overheating entirely, and by the 2080s active cooling is likely to be required to maintain comfortable indoor conditions in lofts. Practical application: Converted lofts – present in 5.8% of English and 10.8% of London dwellings – are at significantly elevated risk of high indoor temperatures relative to conventional rooms. Passive adaptations such as ventilation and shading can effectively mitigate loft overheating until around 2080, after which active measures become necessary. When capital and ongoing costs are considered, the most cost-effective heat mitigating adaptations are night and advance ventilation and internal curtains/blinds. Heat mitigating adaptations for converted lofts should become mandatory, and such spaces should not be occupied by the vulnerable or elderly during hot weather.",,,,,,,,,,Construction and Engineering,Engineering & Physical Sciences Research Council (EPSRC),,,Discovery,,,,,,,,
,The Association between Urban Public Transport Infrastructure and Social Equity and Spatial Accessibility within the Urban Environment: An Investigation of Tramlink in London,Urban Public Transport Infrastructure and Social Equity and Spatial Accessibility ,"London Borough of Croydon (51.37687596089541, -0.09459955984608232)",2019,https://westminsterresearch.westminster.ac.uk/item/qvw3q/the-association-between-urban-public-transport-infrastructure-and-social-equity-and-spatial-accessibility-within-the-urban-environment-an-investigation-of-tramlink-in-london,https://doi.org/10.3390/su11051229,Neil Cuthill|Mengqiu Cao|Yuqi Liu|Xing Gao|Yuerong Zhang,"Mengqui Cao
Department of Planning and Transport,
University of Westminster, 35 Marylebone Road, London, NW1 5LS, UK (51.522499463459454, -0.15516838839364727)","Yuqi Liu
Department of Urban Planning and Design, The University of Hong Kong, Pok Fu Lam Rd, Lung Fu Shan, Hong Kong, China (22.28343405945611, 114.13847825515248)","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","The pursuit of sustainability has been at the forefront of contemporary planning initiatives. However, most recent research has focused on the environmental and economic aspects of developing sustainable urban environment, whilst largely neglecting the social aspects. Contemporary political thinking in the UK often disregards the potential of the urban infrastructure to improve social equity. The aim of this study was to analyse the impact of transport infrastructure on a variety of social measures, in an empirical and ideologically unbiased fashion, using both quantitative and qualitative methods. We selected “Tramlink” as a case study: a light-rail system in the London Borough of Croydon which began operation in 2000. We used quantitative methods, including advanced spatial statistics, to produce a more detailed analysis of social equity than has been previously published. This acknowledges that determining localised issues can produce more informed and effective policy interventions. Our results demonstrate that the physical properties of transport infrastructure and the non-physical attributes of society, in combination, help to create opportunities for individuals to succeed. We also find that in order to reduce the negative effects of austerity, public money could be more effectively spent if diverted to areas that are most in need which can be highlighted through localised investigations.",Mengqiu Cao|,"Department of Planning and Transport, University of Westminster, London NW1 5LS (51.5171083035177, -0.14273950923015175)",Co-authorship with academic partner(s),Government,Swedish Government,Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Planning and Policy,,,,Discovery,,,,,,,,
,Exploring the relation between transport and social equity: empirical evidence from London and Beijing,The relation between transport and social equity,London,2019,https://discovery.ucl.ac.uk/id/eprint/10065256/,https://discovery.ucl.ac.uk/id/eprint/10065256,Mengqiu Cao,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","In the transport context, social equity has not previously been treated as a significant issue by most researchers, partly because the relationship between transport and social equity has not been fully understood. Social equity in itself is a difficult term to define, while it is still more challenging to quantify the contribution that transport investment might make to improving social equity. Four key findings are derived from the research analysis. First, it is revealed that there are high levels of composite car dependence and housing price vulnerability in many suburban areas across Greater London, not just the areas of social deprivation previously found mainly in East London. Second, it is found that there are statistically significant differences in terms of capabilities and functionings across the socio-demographic characteristics of individuals, such as gender, age, ethnic origin, marital status, incumbent population, employment, personal income, housing tenure, and car ownership; and also across different neighbourhoods in London. Third, the results show that functionings and capabilities differ according to an individual’s socio-economic characteristics and geographical location, meaning that both the opportunities to participate in life and also the actual activities themselves differ in the case of Beijing. This is an important distinction that the Capabilities Approach (CA) offers, and it is useful to consider if the potential for achieving improved social equity is to be realised. Finally, the findings show that socio-economic characteristics, travel factors, built environment features, and attitudes/perceived needs play significant roles in station area residents’ choice of transport mode, meaning that the results are mainly in line with previous studies, although some propensities associated with mode choice vary between London and Beijing. Factors relating to social equity are also taken into account and reveal a significant relationship with transport mode choice.",,,,,,,,,,Planning and Policy,,,,Discovery,,,,,,,,
,The role of technology as an enabler for agile workplace strategy: A case study of implementing agile working in the headquarters of a construction company in Central London,Technology as an enabler for agile workplace strategy,"Becket House, Bouygues Uk, Central London (51.49977017638403, -0.11634197490043982)",2019,https://discovery.ucl.ac.uk/id/eprint/10072734/,https://discovery.ucl.ac.uk/id/eprint/10072734/1/Alnaggar%20%26%20Pitt%20Agile%20Working%20PRRES%20Paper.pdf,Ahmed Alnaggar|Michael Pitt,,,"Bartlett School of Sustainable Construction (51.521897,-0.134542)","The ever-increasing global competition in today’s business world has made it critical for organisations to rethink their business practices and value proposition to maintain their competitive advantage. Organisations look for agile strategies to strike an adequate balance between employee satisfaction, wellbeing and productivity in one side and the efficiency and effectiveness of utilising the space on the other side. The fast pace of technology development is considered an enabler for agile working. However, there are very few studies done on analysing the interconnected relationship between the social and technical/technological aspects of agile working. This case study was undertaken on three floors of the headquarter building of a construction and property development company in Central London. The study involved introducing agile working concept in the workplace, including adding social spaces, flexible open plan workstations monitored by Internet of things (IoT) technology i.e. occupancy sensors, implementing a new system of monitoring and managing meeting spaces to maximise the efficiency of space utilisation, and introducing a new Information technology and cybersecurity strategy to allow for this change. The study will analyse the factors that influenced this workplace change such as limitations of space, technology development, and the need for maximising the efficiency of the workplace. It will also analyse the lessons learned from implementing the agile working concept, regarding the role of technology, the social aspects, the business value of this implementation and the relationship between these factors.",Bouygues UK,"Becket House, 1 Lambeth Palace Rd, London SE1 7EU (51.49977017638403, -0.11634197490043982)",Collaborators,,,Collaborators,,,,Construction and Engineering,,,,Discovery,,,,,,,,
,Can the choice of building performance simulation tool significantly alter the level of predicted indoor overheating risk in London flats?,Building performance simulation tool & indoor overheating risk,London,"11-12 September, 2018",https://discovery.ucl.ac.uk/id/eprint/10058385/,https://discovery.ucl.ac.uk/id/eprint/10058385/1/Petrou_4C-1.pdf,Giorgos Petrou|Anna Mavrogianni|Phil Symonds|Ivan Korolija|Rokia Raslan |Mike Davies,"Anastasia Mylona 
Chartered Insitute of Building Services Engineers, London, UK (51.442116639506494, -0.15424404823790577)
Dane Virk
AtkinsRéalis, London, UK (51.4978876157519, -0.14246142549799956)",,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"The accurate prediction of building indoor overheating risk is critical in order to mitigate its possible consequences on occupant health and wellbeing. The Chartered Institution of Building Services Engineers issued Technical Memorandum 59 (TM59) with the aim of achieving consistency in the modelling processes followed for the prediction of overheating risk in new dwellings. However, as each tool’s prediction may depend on its inherent assumptions, an inter-model comparison procedure was used to assess whether the choice of building performance simulation tool influences the overheating assessment. The predictions of two popular tools, IES VE and EnergyPlus, were compared for nine variations of a naturally ventilated, purpose built, London flat archetype, modelled under the default algorithm options. EnergyPlus predicted a high overheating risk according to TM59 criteria in seven out of the nine model variants, contrary to the low risk of all the IES VE variants. Analysis of heat transfer processes revealed that wind-driven ventilation and surface convection algorithms were the main sources of the observed discrepancies. The choice of simulation tool could thus influence the overheating risk assessment in flats, while the observed discrepancies in the simulation of air and heat transfer could have implications on other modelling applications. Practical application: Technical Memorandum 59 issued by the Chartered Institution of Building Services Engineers may be widely adopted within the industry to assist the prediction of overheating risk in new dwellings. This work suggests that the choice of building performance simulation tool can greatly influence the predicted overheating risk. Furthermore, the differences identified in the modelling of heat transfer processes could also impact other modelling applications. Following these results, the need for detailed empirical validation studies of naturally ventilated homes has been highlighted.",Anastasia Mylona |Dane Virk,"Chartered Insitute of Building Services Engineers, London, UK (51.442116639506494, -0.15424404823790577)
AtkinsRéalis, London, UK (51.4978876157519, -0.14246142549799956)","Co-authorship with other partner(s)
Co-authorship with industry partner(s)
",,,Co-authorship with academic partner(s),Co-authorship with industry partner(s),,,Technology and Computation,Engineering & Physical Sciences Research Council (EPSRC),,,Discovery,,,,,,,,
,"Exploring associations between soundscape assessment, perceived safety and well-being: A pilot field study in Granary Square, London","Associations between soundscape assessment, perceived safety and well-being","Granary Square (51.53533935078296, -0.12493722333236404)",9-13 September 2019,https://discovery.ucl.ac.uk/id/eprint/10119769/,https://discovery.ucl.ac.uk/id/eprint/10119769/1/000120.pdf,Francesco Aletta|Luca Molinero|Arianna Astolfi|Sonja Di Blasio|Louena Shtrepi|Tim Oberman|Jian Kang,,"Luca Molinero
Arianna Astolfi
Sonja Di Blasio
Louena Shtrepi
Polytechnic University of Turin, Corso Castelfidardo, 39, 10129 Torino TO, Italy (45.06777813120838, 7.659607576630022)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"The number of soundscape studies is growing steadily over time and the discipline as a whole is going through a process of methodological standardization. Yet, more empirical evidence is needed about the benefits of experiencing positive soundscapes for health, well-being and quality of life. In this study, a pilot questionnaire was distributed to 50 users of a public open space in London (Granary Square), which consisted of a standardized protocol for collecting soundscape data (ISO 12913-2:2018, Method A), the World Health Organisation-Five Well-Being questionnaire (WHO-5) and a short protocol to assess perceived safety. Results show that associations between negative soundscape dimensions and lower well-being scores exist at a statistically significant level (p <.05) and other further insights into the relationships between sound perception and perceived safety. By making a stronger case for policy makers and planners, these findings contribute to the discourse of approaching the management of the urban acoustic environments in a proactive rather than reactive way, to promote healthy and supportive urban spaces.",,,,,,Co-authorship with other partner(s),,,,Construction and Engineering,European Research Council (ERC),,,Discovery,,,,,,,,
,Urban transport and social inequities in neighbourhoods near underground stations in Greater London,Urban transport and social inequities near underground stations,"Canary Wharf (51.5052200882373, -0.02063668313216405)
Canning Town ( 51.518968730466895, 0.013143456111088844) 
Bermondsey (51.49840964845454, -0.063922798563364)",2019,https://discovery.ucl.ac.uk/id/eprint/10073179/1/Manuscript_SocialInequitiesInLondon_MC%26RH_20April2019_Final%20green.pdf,https://discovery.ucl.ac.uk/id/eprint/10073179/1/Manuscript_SocialInequitiesInLondon_MC%26RH_20April2019_Final%20green.pdf,Mengqui Cao,"Mengqui Cao
Robin Hickman
School of Architecture and Cities,
University of Westminster, 35 Marylebone Road, London, NW1 5LS, UK (51.522499463459454, -0.15516838839364727)",,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","Social equity, and the contribution that transport planning can make to social equity, are increasingly attracting the attention of transport planners and researchers. This perhaps reﬂects the heightened levels of social inequity in cities and the concern over diﬀerential access to transport and participation in activities. This paper considers these issues by applying the Capabilities Approach to transport, in order to examine an individual’s opportunities to travel and engage in activities (capabilities) and their actual day to day travel and engagement in activities (functionings). London is selected as a case study using analysis from three Underground stations on the Jubilee Line Extension. The ﬁndings show that there are statistically signiﬁcant diﬀerences in terms of capabilities and functionings across the socio-demographic characteristics of individuals, and also across diﬀerent neighbourhoods in London. It is argued that unless local residents’ potential travel opportunities and actual activities, and the gaps between them, are better understood and responded to, the problem of transport-related social inequity is likely to persist in London. Therefore, we suggest that the ﬁndings from this research, including the multi-dimensional social indicators and understanding of the barriers to accessibility, could be used alongside existing approaches such as accessibility planning.",Mengqui Cao|Robin Hickman,"School of Architecture and Cities,
University of Westminster, 35 Marylebone Road, London, NW1 5LS, UK (51.522499463459454, -0.15516838839364727)",Co-authorship with academic partners,,,Co-authorship with academic partner(s),,,,Planning and Policy,British Council,,,Discovery,,,,,,,,
,Optimising parcel deliveries in London using dual-mode routing,Optimising parcel deliveries using dual-mode routing,London,"Sunday, 13 May 2018",https://www.tandfonline.com/doi/full/10.1080/01605682.2018.1480906,https://discovery.ucl.ac.uk/id/eprint/10065558/1/_system_appendPDF_proof_hi-2.pdf,Sarah Wise|Thu Ba Nguyen|Tolga Bektas|Tom Cherrett|Fraser McLeod|Oliver Bates|Adrian Friday|Julian Allen|Marzena Piotrowska|Maja Piecyk,"Julian Allen
Marzena Piotrowska
Maja Piecyk
School of Architecture and the Built Environment,
University of Westminster, 35 Marylebone Road, London, NW1 5LS, UK (51.522499463459454, -0.15516838839364727)","Thu Ba Nguyen
Tolga Bektas
Tom Cherrett
Fraser McLeod
University of Southampton Faculty of Business and Law, University of Building, 4 University Rd, Southampton SO17 1BJ (50.94018999033012, -1.398123330783094)

Oliver Bates
Adrian Friday
School of Computing and Communications, Lancaster University, Lancaster, LA1 4WA, U.K. (54.00564679143338, -2.7846138711058326)","Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","Last-mile delivery operations are complex, and the conventional way of using a single mode of delivery (e.g. driving) is not necessarily an efficient strategy. This paper describes a two-level parcel distribution model that combines walking and driving for a single driver. The model aims to minimise the total travelling time by scheduling a vehicle’s routing and the driver’s walking sequence when making deliveries, taking decisions on parking locations into consideration. The model is a variant of the Clustered Travelling Salesman Problem with Time Windows, in which the sequence of visits within each cluster is required to form a closed tour. When applied to a case study of an actual vehicle round from a parcel carrier operating in London, savings of over 20% in the total operation time were returned over the current situation where 144 parcels were being delivered to 57 delivery locations.",Julian Allen|Marzena Piotrowska|Maja Piecyk,"School of Architecture and the Built Environment,
University of Westminster, 35 Marylebone Road, London, NW1 5LS, UK (51.522499463459454, -0.15516838839364727)",Co-authorship with academic partners,,,Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Other,Engineering & Physical Sciences Research Council (EPSRC),,,Discovery,,,,,,,,
,Surface and passive/active air mould sampling: A testing exercise in a North London housing estate,Surface and passive/active air mould sampling,London,"Monday, 25 June 2018",https://discovery.ucl.ac.uk/id/eprint/10052379/,https://doi.org/10.1016/j.scitotenv.2018.06.311,Hector Altamirano|Yasemin Didem Aktas|Ioanna Ioannou|Dina D'Ayala|Melisa Canales|Morten Reeslev,"Yasemin Didem Aktas
Hector Altamirano 
Dina D'Ayala
Neil May 
UK Centre for Moisture in Buildings (UKCMB), Central House, 14 Upper Woburn Place, London, WC1H 0NN, United Kingdom (51.52696736981316, -0.12985490188742857)

Yasemin Didem Aktas
Ioanna Ioannou
Dina D'Ayala
Melisa Canales
Epicentre Research Group and Healthy Infrastructure Research Group, Department of Civil, Environmental and Geomatic Engineering (CEGE), UCL, Chadwick Building, Gower St, London WC1E 6BT (51.52513056066895, -0.13463721659516806)","Morten Reeslev
MycometerA/S
Dr Neergaards Vej 3, 2970 Hørsholm, Denmark (55.868177431929716, 12.496748371284392)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"Despite indoor mould being one of the most common problems in residential properties in the UK, there are not any widely accepted methodologies for its measurement. This paper focusses on this problem of measurement and reports on the findings from a rigorous testing scheme carried out to quantify air and surface mould concentrations and particle counts within 71 rooms from 64 properties in North London, some with and some without visible mould. The aim was to investigate the potential of passive and active air sampling strategies (sampling from still and actively mixed air, respectively) to explain visible mould, and understand how home/room characteristics correlate with the obtained readings. Airborne mould levels were quantified using an Andersen sampler (passively and actively), as well as by a chemical method based on the quantification of the N-acetylhexosaminidase (NAHA) activity (actively), which was also used to quantify surface mould. The mould levels were then correlated against physical characteristics of the tested homes/rooms, collected by means of survey sheets developed as part of this study. The findings did not reveal any independent variable governing all or most of the response variables, but a complex analysis suggested that whether it is a house or a flat could depict mould levels in the air and on the surfaces. It was also shown that a robust testing protocol should combine air and surface based methods, and an active air sampling strategy leads to a more accurate appraisal of airborne mould levels. Finally, the results showed that while there is some correlation between visible mould (and other moisture induced problems such as condensation) and measured air mould concentrations, lack of visible mould within a room does not necessarily mean low air mould concentrations, and thus one should not rely solely on visual inspection.",Hector Altamirano |Neil May ,"UK Centre for Moisture in Buildings (UKCMB), Central House, 14 Upper Woburn Place, London, WC1H 0NN, United Kingdom (51.52696736981316, -0.12985490188742857)
",Co-authorship with other partner(s),Government,Healthcare agency,Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Construction and Engineering,Polygon UK,Engineering & Physical Sciences Research Council (EPSRC),,Discovery,,,,,,,,
,London’s nocturnal queer geographies,Nocturnal queer geographies,London,Winter 2018,https://discovery.ucl.ac.uk/id/eprint/10062897/,https://discovery.ucl.ac.uk/id/eprint/10062897/1/Campkin_Marshall_Soundings_londons-nocturnal-queer-geographies.pdf,Ben Campkin |Lo Marshall,,,"Bartlett School of Architecture (51.525972,-0.132386)","There are contradictory pulls in neoliberal cities. On the one hand there has been an acceptance of mainstream Lesbian, Gay, Bisexual, Trans and Queer (LGBTQ+) identities, as celebrated for example through commercially sponsored and officially endorsed Pride rallies. On the other, real estate-led global city competitiveness is affecting our capacity to secure the heritage of queer publics, and for them to keep a foothold in the spaces they have historically occupied. Internationally, researchers are charting the effects of gentrification on neighbourhoods associated with LGBTQ+ communities. In the UK, since LGBTQ+ rights have been won in large part through European Union-led legislation, the trajectory of an increasing liberalisation of attitudes and legal protections is not guaranteed. Recent data shows losses of a wide range of cultural and social spaces, but the provision of LGBTQ+ nightvenues has suffered an even more dramatic fall than has been seen for pubs in the UK overall; and LGBTQ+ night-venues have suffered disproportionately in London’s wider losses of nightclubs and grassroots music venues, as they have been rapidly succumbing to commercial residential and infrastructure-led developments. If pubs, generally, are important to the social life of neighbourhoods, LGBTQ+ venues function as vital infrastructure for these groups, providing spaces of care and community against wider contexts of oppression and violence. In London, as in other cities internationally, increasing attention is being paid to LGBTQ+ heritage alongside that of other minority groups. But are these efforts in vain, given that t",,,,,,,,,,Planning and Policy,,,,Discovery,,,,,,,,
,"Slow cities, urban politics and the temporalities of planning: Lessons from London","Slow cities, urban politics and the temporalities of planning","Centre Point (51.51600117878899, -0.1294257810036976)","Wednesday, 7 November 2018",https://discovery.ucl.ac.uk/id/eprint/10047030/,https://doi-org.libproxy.ucl.ac.uk/10.1177/2399654418775105,Mike Raco|Daniel Durrant|Nicola Livingstone,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","In the wake of the global financial crash of 2007–2008, many governments have sought to streamline their post-war planning systems and encourage faster project delivery. Expedited decision-making is equated with efficiency and the meeting of broader growth objectives, whereas slower and more complex forms of engagement are presented as an impediment and a governmental problem to be solved through reform. For critical authors such as Weber, such approaches are fraught with danger. The core objective of planning systems should, conversely, be focused on the production of ‘slow cities’, in which decision-making times allow time for proper democratic and judicial-technical oversight of development processes. Slow planning, it is claimed, can limit the negative impacts of rapid development on urban built environments and communities. In this paper, we draw on research in London to examine the relationships between the temporalities of planning, project outcomes and the politics of time. We argue that within urban studies there needs to be a stronger emphasis on the temporal dimensions of governance and the politics of time. We highlight the conditions in and through which temporal resources are deployed strategically in urban planning and assess the ways in which powerful, reflexive and time-resourced developers and investors use planning timeframes to boost returns over the longer term. We conclude by setting out agendas for future research and for more variegated and contextualised explorations of fast and slow planning processes.",,,,Government,UK Parliament Select Committee Publications,,,,,Planning and Policy,,,,Discovery,,,,,,,,
,Key variables and policy test to increase water efficiency in households in London: A system dynamics approach,To increase water efficiency in households in London,London,"Wednesday, 17 October 2018",https://discovery.ucl.ac.uk/id/eprint/10061416/1/Manuscript%20V4%20Latin%20SD%20conference%20paper.pdf,https://discovery.ucl.ac.uk/id/eprint/10061416/1/Manuscript%20V4%20Latin%20SD%20conference%20paper.pdf,Nicole Zimmermann|Sarah Bell|Daniela Flor,"Sarah Bell
Daniela Flor
Department of Civil, Environmental and Geomatic Engineering (CEGE), UCL, Chadwick Building, Gower St, London WC1E 6BT (51.52513056066895, -0.13463721659516806)",,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"Water efficiency is a complex system influenced by different variables. This study focuses in identifying key variables and causal mechanisms to then evaluate policy options to increase water efficiency in households in London. The methodology consists of two phases. Phase one develops a review of previous studies and a focus group session to conceptualize the problem and relationships between variables. Phase two constructs, validates and analyses a system dynamics model, and then proposes policies. Results show promise for reducing water consumption through efficient appliances. However, efforts must be placed in their development. Moreover, installation of metering devices can reduce water consumption, but this effect weakens over time. Occupancy continues to be a major factor influencing water consumption. Because of the study’s focus on causal feedback mechanisms, it can explain which policies work and why at other times even by improving balancing feedback loops, the model stabilizes with no further reduction.",UCL Water Group|,"UCL (51.52510565037896, -0.13394264766879568)",Research participation in focus group,,,Public engagement,Co-authorship with academic partner(s),,,Planning and Policy,"Foreign, Commonwealth and Development Office",,,Discovery,,,,,,,,
